Product_id,Product_category,Product_launch_date,Product_launch_Time,Product_source,google_search-keyword
AH737757QD,platinum,01-01-2020,0:00:16,google,sell in bulk online
YR294414SA,sliver,01-01-2020,0:04:56,website,
EA137670JT,platinum,01-01-2020,0:05:29,google,sell in bulk online
GD677868SD,platinum,01-01-2020,0:32:19,google,sell on flipkart
TJ988922PQ,platinum,01-01-2020,5:19:12,website,
DY389442DC,platinum,01-01-2020,6:47:30,google,sell on amazon
RL649730DQ,platinum,01-01-2020,7:03:09,google,sell in bulk online
CP528277TE,platinum,01-01-2020,7:48:08,website,
CC442478MB,sliver,01-01-2020,7:59:29,google,sell online
RK378222ZA,gold,01-01-2020,8:32:57,android,
NY439952EU,bronze,01-01-2020,8:53:05,website,
MC226261WC,platinum,01-01-2020,10:18:10,google,sell online
EK632846NC,platinum,01-01-2020,10:33:32,website,
II668693CR,sliver,01-01-2020,10:45:19,whatsapp,
SH507359QD,sliver,01-01-2020,10:51:02,website,
AD424048PB,sliver,01-01-2020,10:51:42,website,
WX809345CB,sliver,01-01-2020,10:53:12,google,sell online
DV457256MS,bronze,01-01-2020,10:56:57,google,sell in bulk online
AX604939GB,platinum,01-01-2020,11:01:05,website,
TV886034JE,sliver,01-01-2020,11:25:18,website,
LP605696JZ,sliver,01-01-2020,11:29:13,website,
IT105028TU,platinum,01-01-2020,11:38:23,google,sell online
CU572376FG,platinum,01-01-2020,11:43:36,website,
WT139840OC,bronze,01-01-2020,11:45:33,website,
MH295432JP,gold,01-01-2020,11:48:23,whatsapp,
XR968293VE,platinum,01-01-2020,11:50:00,website,
VL808874BQ,platinum,01-01-2020,11:50:26,website,
YR803863DN,sliver,01-01-2020,11:59:23,google,sell online
UZ216732XH,platinum,01-01-2020,12:03:51,tele-sales,
DP132354KR,gold,01-01-2020,12:06:24,google,sell online
MO286356JL,sliver,01-01-2020,12:12:22,google,sell online
ZA204369AD,platinum,01-01-2020,12:28:21,website,
OY878447XM,platinum,01-01-2020,12:34:00,google,bulkpro
VB233787NN,platinum,01-01-2020,12:35:46,google,sell online
YY208779NY,sliver,01-01-2020,12:37:30,google,bulkpro
GI768088SH,platinum,01-01-2020,12:37:52,website,
RW813122HA,sliver,01-01-2020,12:43:44,website,
ED934513ZJ,sliver,01-01-2020,12:50:28,website,
XM925049EU,bronze,01-01-2020,12:54:03,website,
WX589819OA,bronze,01-01-2020,13:05:00,google,sell in bulk online
GU734810QY,bronze,01-01-2020,13:14:55,website,
HS565644QV,platinum,01-01-2020,13:18:16,google,sell in bulk online
MA172058MK,platinum,01-01-2020,13:19:05,website,
LQ432186CF,platinum,01-01-2020,13:33:00,website,
BM378883RQ,sliver,01-01-2020,13:34:14,google,sell in bulk online
ZY231929HI,platinum,01-01-2020,13:50:45,google,sell on internet
CJ348943RY,platinum,01-01-2020,13:55:19,tele-sales,
ZV842667ME,platinum,01-01-2020,13:59:00,website,
TP304438XZ,platinum,01-01-2020,14:03:07,website,
CC966732KI,sliver,01-01-2020,14:09:32,website,
DL611830VZ,platinum,01-01-2020,14:15:54,google,sell on internet
JN713123DM,sliver,01-01-2020,14:23:43,google,sell in bulk online
IB674331VY,platinum,01-01-2020,14:25:18,tele-sales,
SD535227JU,platinum,01-01-2020,14:52:00,google,sell in bulk online
AR703377YJ,platinum,01-01-2020,14:54:24,google,sell in bulk online
VF752261CM,platinum,01-01-2020,15:00:45,tele-sales,
EL917345UN,platinum,01-01-2020,15:21:00,website,
